TLE4726GXUMA1|Infineon Technologies AG|1744|1|$2.7100
TLF35584QVVS2XUMA1|Infineon Technologies AG|2297|1|$3.8660
411051003|TE Connectivity Ltd|7908|1|$0.1824
4-1241961-3|TE Connectivity Ltd|39456|1|$0.1476
41206ESDA-TR1|Eaton Corporation|40000|1|$0.4378
A207110R35|Eaton Corporation|50|1|$4.7806
ERJ-2RKF33R2X|Panasonic Electronic Components|81889|1|$0.0046
ERJ-2RKF51R1X|Panasonic Electronic Components|61663|1|$0.0046
71991-302LF|Amphenol ICC|434|1|$0.2965
770602-6|TE Connectivity Ltd|62976|1|$0.1104
1-770602-6|TE Connectivity Ltd|2714|1|$0.4920
TPSD107M016R0125|AVX Corporation|1534|1|$0.6035
ABM8G-24.000MHZ-18-D2Y-T|Abracon Corporation|11481|1|$0.4878
ABS07AIG32.768KHZ9T|Abracon Corporation|3323|1|$0.9026
ABM2-25.000MHZ-D4Y-T|Abracon Corporation|235|1|$0.3862
ABM3-25.000MHZ-D2Y-T|Abracon Corporation|15456|1|$0.5251
ABM8-24.000MHZ-B2-T3|Abracon Corporation|6000|1|$0.5011
NR4018T100M|TAIYO YUDEN|5500|1|$0.1451
NR6045T6R3M|TAIYO YUDEN|22220|1|$0.1441
MC56F8036VLF|NXP Semiconductors|1084|1|$7.8980
MC56F8247MLH|NXP Semiconductors|160|1|$4.6900
MC56F8247VLH|NXP Semiconductors|160|1|$7.5600
MC56F8256VLF|NXP Semiconductors|750|1|$7.1200
MC68302EH16C|NXP Semiconductors|139|1|$35.1700
MC68302EH20C|NXP Semiconductors|120|1|$40.5800
MC68332ACEH16|NXP Semiconductors|1944|1|$24.7500
MC68332ACEH20|NXP Semiconductors|60|1|$27.3100
MC68340AB16E|NXP Semiconductors|767|1|$30.1500
TNPW040275K0BEED|Vishay Intertechnologies|8000|1|$0.3870
RB055L-30TE25|ROHM Semiconductor|14773|1|$0.3111
SML-210VTT86|ROHM Semiconductor|112761|1|$0.0784
OPA4277UAE4|Texas Instruments|15|1|$8.8800
RS07J-GS08|Vishay Intertechnologies|23075|1|$0.2310
CX3225GB12000D0HPQCC|AVX Corporation|11959|1|$0.4464
NTB0102GT,115|NXP Semiconductors|7745|1|$0.2117
NTS0102GF,115|NXP Semiconductors|5233|1|$0.3266
MCF5232CVM150J|NXP Semiconductors|1959|1|$31.9896
MCF5232CVM150|NXP Semiconductors|46|1|$26.6890
MCF5272VM66R2|NXP Semiconductors|750|1|$19.2000
MCF54452VR266|NXP Semiconductors|92|1|$18.8700
MCIMX283DVM4B|NXP Semiconductors|1881|1|$6.9220
MCIMX283DVM4BR2|NXP Semiconductors|1000|1|$10.9067
L78L33ACZAP|STMicroelectronics|1164|1|$0.0993
HCM0703-2R2-R|Eaton Corporation|1725|1|$1.0353
1-1658621-1|TE Connectivity Ltd|588|1|$2.5570
FP1007R6-R33-R|Eaton Corporation|966|1|$0.8932
FP3-R10-R|Eaton Corporation|3180|1|$2.1760
6400BG|Aavid Thermalloy|891|1|$1.7595
1-1106102-1|TE Connectivity Ltd|277|1|$0.6394
176272-1|TE Connectivity Ltd|11089|1|$0.0696
1-962842-1|TE Connectivity Ltd|175000|1|$0.2745
111995-0000|ITT Corporation|20|1|$421.9342
0469990653|Molex|2688|1|$0.3255
84981-5|TE Connectivity Ltd|15000|1|$0.1548
1-84981-5|TE Connectivity Ltd|6000|1|$0.3348
ISL80103IRAJZ-TK|Renesas Electronics Corporation|4000|1|$1.4509
MCIMX6U7CVM08AC|NXP Semiconductors|3444|1|$29.1120
0015060100|Molex|4519|1|$0.4933
0039532124|Molex|4162|1|$0.7990
FRDM-FXS-MULT2-B|NXP Semiconductors|12|1|$132.2357
U99-B104-200T|Amphenol Corporation|319|1|$79.0900
2-962841-1|TE Connectivity Ltd|8938|1|$0.2060
770069-1|TE Connectivity Ltd|486|1|$0.2253
770835-1|TE Connectivity Ltd|15000|1|$0.0366
776463-1|TE Connectivity Ltd|521|1|$2.3820
MC9S08AC60CFUE|NXP Semiconductors|1340|1|$4.1040
MC9S08DZ60AMLF|NXP Semiconductors|3084|1|$5.2392
SPC5634MF2MLU80|NXP Semiconductors|628|1|$17.0200
SPC5668GF1AVMG|NXP Semiconductors|106|1|$52.1000
T1040NSN7PQB|NXP Semiconductors|1|1|$56.9925
T2080NSN8PTB|NXP Semiconductors|35|1|$238.7000
C0805C223K5RACAUTO|KEMET Corporation|56000|1|$0.0340
CRCW040217K4FKEDC|Vishay Intertechnologies|9975|1|$0.0204
CRCW04021K40FKED|Vishay Intertechnologies|16348|1|$0.0254
CRCW2512121KFKEG|Vishay Intertechnologies|1796|1|$0.2903
CRCW2512390KJNEG|Vishay Intertechnologies|1700|1|$0.0515
CRCW251242K2FKEG|Vishay Intertechnologies|2000|1|$0.2903
CRCW25125K11FKEG|Vishay Intertechnologies|2000|1|$0.0518
CRCW25126K81FKEG|Vishay Intertechnologies|1450|1|$0.2903
EKY-500ELL100ME11D|United Chemi-Con Inc|49634|1|$0.0497
NRC04J472TRF|NIC Components Corp|34519|1|$0.0022
NRC12F4990TRF|NIC Components Corp|100000|1|$0.0073
UPD720114GA-YEU-AT|Renesas Electronics Corporation|21|1|$3.0048
160173-2|TE Connectivity Ltd|10000|1|$0.0519
ABS07-32.768KHZ-9-1-T|Abracon Corporation|4796|1|$0.6544
171830-1|TE Connectivity Ltd|90|1|$3.0856
172026-1|TE Connectivity Ltd|1213|1|$1.2383
78172-0411|Molex|4800000|1|$0.0420
0781720411|Molex|42053|1|$0.1765
78172-0411-TR7500|Molex|30000|1|$0.0492
78172-0411-CUT-TAPE|Molex|5425|1|$0.0492
L78L06ABUTR|STMicroelectronics|8638|1|$0.1368
ERJ-3RQJ1R0V|Panasonic Electronic Components|15000|1|$0.0129
TLV2371IDBVT|Texas Instruments|1210|1|$0.7873
TLV2373IDGSR|Texas Instruments|836|1|$1.1778
TLV2381IDBVR|Texas Instruments|3000|1|$1.1731
RB160VA-40TR|ROHM Semiconductor|12690|1|$0.1492
TPS3820-50QDBVRQ1|Texas Instruments|4955|1|$1.0146
TPS3823A-33DBVT|Texas Instruments|348|1|$1.2282
DS90LT012ATMF/NOPB|Texas Instruments|891|1|$1.2877
2113-3-00-01-00-00-07-0|Mill-Max Mfg Corp|3560|1|$3.6909
ABM3-29.4912MHZ-B2-T|Abracon Corporation|417|1|$0.8246
ABM3B-10.000MHZ-10-1-U-T|Abracon Corporation|181|1|$0.8762
STM32F070RBT6|STMicroelectronics|44774|1|$1.4440
STM32F070RBT6TR|STMicroelectronics|846|1|$1.2797
EXB-V8V561JV|Panasonic Electronic Components|5000|1|$0.0091
L9779WD-SPI|STMicroelectronics|394|1|$8.3550
ENC424J600T-I/PT|Microchip Technology Inc|1053|1|$3.3300
M39014/02-1318V|KEMET Corporation|20|1|$6.0270
PHE450PB5220JR06|KEMET Corporation|977|1|$0.3312
LPC1114FBD48/303,1|NXP Semiconductors|3418|1|$1.5482
LPC1114FHN33/301,5|NXP Semiconductors|1040|1|$1.7580
LPC11E67JBD64E|NXP Semiconductors|130|1|$4.3477
LPC11U14FBD48/201|NXP Semiconductors|576|1|$1.7255
LPC1754FBD80,551|NXP Semiconductors|3659|1|$4.6443
LPC1765FBD100,551|NXP Semiconductors|18505|1|$5.7820
LPC1768FBD100,551|NXP Semiconductors|32786|1|$6.0600
LPC2387FBD100,551|NXP Semiconductors|7888|1|$9.5470
LPC2388FBD144,551|NXP Semiconductors|2160|1|$10.9214
LPC4088FBD144,551|NXP Semiconductors|120|1|$8.3630
LPC4088FBD208,551|NXP Semiconductors|180|1|$9.6650
LPC43S50FET180E|NXP Semiconductors|129|1|$6.1125
LPC812M101JTB16X|NXP Semiconductors|3720|1|$1.2425
TR-3216FF3-R|Eaton Corporation|16823|1|$0.3382
