title|comment|bookmark|address|price
Check-In Taipei|696|31323|中環蘇豪荷李活道27號地舖|$101-200
S2 Kitchen|794|24162|中環威靈頓街51號地下A舖|$401-800
瘋狂小面 Crazy Noodles|475|15310|中環士丹利街66-72號佳德商業大廈1樓|$51-100
Grill ขุนทอง|575|11195|中環蘭桂坊德己立街17-19號地下|$50以下
Espuma|840|31313|中環威靈頓街2-8號威靈頓廣場M88 17樓|$101-200
Shake Shack|586|23479|中環港景街1號國際金融中心4樓4018號舖|$51-100
名館 Ming Bistro|456|18614|中環擺花街1-7號1號廣場1樓|$101-200
Chotto Maki|312|6921|中環利源西街3號地下|$51-100
中環茶記 Cha Kee Central|348|5161|中環威靈頓66號裕榮大廈地舖|$51-100
La Vache!|351|41496|中環蘇豪卑利街48號地舖|$201-400
何蘭正 65 Peel|222|15306|中環蘇豪卑利街65-65A號地舖|$101-200
Uncle Pizza, Pasta & Grill|288|7234|中環伊利近街25號地下|$101-200
Goobne Chicken|319|17441|中環威靈頓街2-8號威靈頓廣場M88 5樓|$101-200
一起食堂|303|8494|中環域多利皇后街2號地舖|$51-100
勝香園 Sing Heung Yuen|1447|50300|中環美輪街2號排檔|$50以下
Spark Bar & Restaurant|302|15039|中環蘭桂坊雲咸街29號LKF 29 4樓|$201-400
Shahrazad Lebanese Dining Lounge & Bar|208|11666|中環雲咸街75-77號嘉兆商業大廈2樓|$201-400
鳴越越式料理 Ming Viet Vietnamese Cuisine|283|3969|中環德輔道中144-148號安泰大廈地庫|$51-100
唐宮小聚 Social Place|370|32880|中環皇后大道中139號 The L. Place 2樓|$201-400
Glasshouse|397|35394|中環港景街1號國際金融中心4樓4009號舖|$101-200
Amici|232|13704|中環士丹利街11號Stanley 11 8樓|$401-800
火鍋撚 Hot Pot Land|253|16469|中環雲咸街46-48號雲明行3樓|$201-400
Green Waffle Diner|428|15077|中環嘉咸街35-39號嘉豪大廈地舖|$101-200
Dear Lilly|230|25368|中環金融街8號國際金融中心商場4樓4010號舖|$201-400
中華滙館 Restaurant de Chine|252|8572|中環士丹利街13號地舖|$401-800
Wingman|187|5246|中環閣麟街37-43號祥興商業大廈6樓|$101-200
炊豕店 Hogology|182|6041|中環威靈頓街148號地下|$51-100
Westwood Carvery|233|16674|中環蘭桂坊和安里2號地舖|$201-400
飲茶 Yum Cha|257|29627|中環德輔道中173號南豐大廈2樓1-2號舖|$101-200
Café Crêpe|215|6708|中環威靈頓街15B號地舖|$101-200
立体派 Ramen Cubism|254|10383|中環威靈頓街27-29號元益大廈地庫|$51-100
Pho Bar|209|5664|中環利源西街24號地舖|$51-100
泰潮 Thai Chiu|172|6967|中環嘉咸街7號地舖|$51-100
三一餃子 Trinity|162|7210|中環利源西街7號地舖|$51-100
kikusan|234|15839|中環皇后大道中15號置地廣場中庭地庫B13-16號舖|$101-200
Cuisine Culture|148|3072|中環德己立街12號業豐大廈2樓203號舖|$201-400
Foxglove|151|12108|中環都爹利街6號印刷行2樓|$201-400
FRITES Belgium on Tap|190|18767|中環威靈頓街198號The Wellington 1樓|$201-400
FUMI|227|17278|中環德己立街30-32號加州大廈6樓|$401-800
The Balcony|181|7835|中環皇后大道中118號3樓|$201-400
博多拉麵別天神 Betsutenjin|151|1419|中環擺花街12-16號合成商業大廈地下3號舖|$51-100
享慢煮意 Fast Gourmet|144|10755|中環善慶街9號地舖|$101-200
瀧 Tempura Taki|196|7269|中環威靈頓街33號The Loop 8樓|$801以上
紅館 Rare Restaurant|155|9194|中環擺花街9號地舖及地庫|$101-200
Rang Mahal Authentic Indian Cuisine|314|7797|中環皇后大道中118號2樓|$101-200
座銀 Zagin Soba|163|10436|中環歌賦街7號地舖|$101-200
施心畢老撾餐廳 Sisombath Restaurant|289|11190|中環威靈頓街98號翡翠中心4樓|$51-100
李好味 Lee Lo Mei|156|19575|中環擺花街8號地下及1樓|$201-400
Mirror & Vegan Concept|150|9297|中環皇后大道中118號9樓|$101-200
吃什麼 What to Eat|166|18419|中環雲咸街75-77號嘉兆商業大廈地下A號舖|$51-100
卅二公館 Mott 32|185|25426|中環德輔道中4-4A號渣打銀行大廈地庫|$401-800
Porterhouse|160|21403|中環蘭桂坊德己立街30-32號加州大廈7樓|$201-400
東歐餐廳 Ivan The Kozak|122|22123|中環雲咸街63號巴力大廈1樓|$201-400
上海弄堂菜肉餛飩 Shanghai Lane|179|4876|中環歌賦街35-37號地舖|$51-100
The ThirtySix|139|4910|中環蘇豪荷李活道23號金珀苑2樓|$101-200
Pici|119|14183|中環蘇豪鴨巴甸街24-26號地舖|$201-400
Cafe Siam|213|7410|中環德己立街21號The Plaza 2-3樓|$101-200
Barista by Givrés|134|3049|中環士丹頓街7號地舖|$50以下
Zenon Café|404|23119|中環威靈頓街86號地舖|$51-100
Tokyolima|112|15336|中環擺花街18-20號地舖|$201-400
5019 Premium Factory|126|8369|中環蘇豪嘉咸街46號地下|$51-100
麵鮮醬油房周月 Shugetsu|340|19119|中環歌賦街5號地舖|$51-100
NINETYs|120|5091|中環些利街2-4號地舖|$201-400
La Famille|105|1499|中環港景街1號國際金融中心商場3樓3098B號舖|$50以下
Duck & Waffle|125|11353|中環港景街1號國際金融中心1樓1081號舖|$201-400
馬祖台灣養生湯麵館 Taiwanese Mazu Lifestyle Noodles|112|2571|中環和安里6-7號聯安樓地下及M樓|$51-100
Shari Shari Kakigori House 氷屋|131|5299|中環蘇豪士丹頓街47號地舗|$51-100
快船廊 Clipper Lounge|481|16591|中環干諾道中5號香港文華東方酒店閣樓|$401-800
VEA Restaurant and Lounge|88|21062|中環威靈頓街198號The Wellington 29至30樓|$801以上
大呷台灣 Da Shia Taiwan|137|1834|中環威靈頓街112-114號新威大廈地下A號舖|$101-200
Lady M|230|6765|中環金融街8號國際金融中心2樓2096A號舖|$51-100
Doubleshot by Cupping Room|105|7563|中環蘇豪荷李活道49號鴻豐商業中心1樓|$101-200
Fukuro|85|14057|中環伊利近街1-5號永利大廈地舖|$201-400
% Arabica|186|5153|中環港景街1號國際金融中心1樓1050號舖|$50以下
吱吱朕 Chi Chi Cham|129|19072|中環蘇豪卑利街53號地舖|$101-200
CAFÉ LANDMARK|310|8558|中環皇后大道中15號置地廣場中庭1樓107-108號舖|$401-800
Caprice|291|16885|中環金融街8號香港四季酒店6樓|$801以上
NOJO|105|7117|中環砵甸乍街45號The Steps ‧ H Code地下5號舖及開放空間|$101-200
Burger Joys|106|2067|中環士丹利街82號地舖|$101-200
蔡瀾越南粉 Chualam's Pho|423|11340|中環威靈頓街15-25號騏利大廈UG層|$51-100
九記牛腩 Kau Kee Restaurant|1035|40390|中環歌賦街21號地舖|$51-100
% Arabica|107|1271|中環鴨巴甸街28號地下|$50以下
Fofo by el Willy|193|14929|中環威靈頓街2-8號威靈頓廣場M88 20樓|$401-800
Dr. Fern's Gin Parlour|75|8380|中環皇后大道中15號置地廣場地庫B31A號舖|$101-200
饗和民 KYO Watami|81|1692|中環德輔道中60-68號萬宜大廈2樓213號舖|$101-200
頹飯 Le Hea Rice|86|1850|中環利源東街20號地舖|$50以下
香港華商銀行公會 The Chinese Banks' Association Ltd|152|2090|中環雲咸街1號南華大廈5樓|$101-200
Burger Circus|151|11791|中環蘇豪荷李活道22號地舖|$101-200
櫻花日本料理 Sakura Japanese Cuisine|152|4588|中環和安里8-13號和安樓1樓|$401-800
金鶴拉麵 Kane Tsuru Ramen|194|2959|中環荷李活道39號地舖|$101-200
長浜No.1拉麵 Nagahama No. 1 Ramen|195|9384|中環九如坊14號地下|$51-100
Beef & Liberty|119|10390|中環蘭桂坊德己立街32號加州大廈3樓|$101-200
Don X Sushi Generation|114|3657|中環和安里6-7號聯安樓地舖|$101-200
裕興咖啡 Yue Hing|130|14782|中環士丹利街82號舖|$50以下
Ciao Chow - Italian Cafeteria|140|12374|中環蘭桂坊德己立街30-32號加州大廈地舖|$101-200
L'Atelier de Joël Robuchon|222|16732|中環皇后大道中15號置地廣場4樓401號舖|$801以上
Beefbar Hong Kong|74|14170|中環雪廠街16號Club Lusitano2樓|$401-800
大班樓 The Chairman|228|17465|中環九如坊18號地下|$401-800
小澤日本料理 Ozawa Japanese Restaurant|115|7414|中環蘇豪嘉咸街49號地下C號舖|$201-400
Popinjays|64|10345|中環紅棉路22號The Murray, Hong Kong酒店26樓|$201-400
文華餅店 The Mandarin Cake Shop|614|9194|中環干諾道中5號香港文華東方酒店閣樓|$51-100
鐵牛台灣牛肉麵 Iron Cow Taiwanese Beef Noodles|139|3987|中環蘇豪威靈頓街98號翡翠中心2樓A及B號舖|$51-100
Amber|225|17725|中環皇后大道中15號置地文華東方酒店7樓|$801以上
すき焼 森 Sukiyaki Mori|61|11312|中環蘇豪荷李活道66號LG層|$401-800
不要對我尖叫，日常茶間， Space Between Daily Tea Time By Don't Yell at Me|137|3288|中環擺花街23-39號中環大厦地下H23號舖|$50以下
MEATS|65|7837|中環蘇豪士丹頓街28-30號地下|$201-400
Sogno Cafe+|138|10018|中環威靈頓街97號威利大廈2樓D室|$51-100
The Roundhouse Taproom|83|2455|中環蘇豪卑利街62號|$201-400
壽司喰 Sushi Kuu|148|10021|中環威靈頓街2-8號威靈頓廣場M88 1樓|$401-800
Ole Spanish Restaurant|156|13120|中環雪廠街24-30號順豪商業大廈1樓|$401-800
Porker|58|8432|中環威靈頓街55號地庫|$101-200
Greyhound Café|415|10283|中環港景街1號國際金融中心1樓1082舖|$101-200
四川菜大平伙 Sichuan Cuisine Da Ping Huo|84|1520|中環嘉咸街53A號嘉利大廈地下F及H號舖|$201-400
POP vegan|71|7645|中環蘇豪伊利近街28號1樓|$101-200
香港老飯店 Hong Kong Old Restaurant|78|3523|中環干諾道中88號南豐大廈地庫|$201-400
丼吉日式吉列豬排專門店 Tonkichi Tonkatsu Seafood|82|4010|中環港景街1號國際金融中心3樓3013號舖|$201-400
舍 SHÈ|94|7671|中環港景街1號國際金融中心商場3樓3025-26, 3031-3066號舖|$201-400
EverShine|71|2154|中環卑利街13號地下|$51-100
富 Madame Fu-Grand Cafe Chinois|95|9620|中環荷李活道10號(舊中區警署)大館營房大樓3樓|$401-800
8½ Otto e Mezzo BOMBANA|113|17527|中環遮打道16-20號歷山大廈2樓202號舖|$801以上
ZENTRO|123|1651|中環威靈頓街198號The Wellington UG樓|$401-800
Nunu燒|84|1595|中環和安里4-5號地舖|$101-200
筷子記 Chopsticks Kee|391|9152|中環威靈頓街85-89號群英商業大廈地下A1號舖|$50以下
沾仔記 Tsim Chai Kee Noodle|425|12741|中環威靈頓街98號地舖|$50以下
298 Nikuya Room|57|11457|中環士丹利街60號明珠行2樓|$401-800
Carbone Hong Kong|75|14054|中環蘭桂坊雲咸街33號LKF Tower 9樓|$401-800
1935 壹玖叁伍 1935 Restaurant|133|9254|中環威靈頓街2-8號M88威靈頓廣場19樓|$201-400
餃掂手工餃子雲吞專門店 Nom Nom Dumpling|103|518|中環威靈頓街55號地下|$50以下
The French Window|160|11848|中環港景街1號國際金融中心商場3樓3101號舖|$401-800
Braza Churrascaria Brazilian Steakhouse|66|12878|中環蘭桂坊15-16號協興大廈3樓|$201-400
公利真料竹蔗水 Kung Lee Sugarcane Juice|409|7284|中環蘇豪荷李活道60號地下|$50以下
CIAK - In The Kitchen|129|12123|中環皇后大道中15號置地廣場中庭3樓327-333號舖|$201-400
Spiga|61|12570|中環皇后大道中31號陸海通大廈3樓|$401-800
Vive Cake Boutique|82|4101|中環皇后大道中80號H Queen's 1樓3號舖|$51-100
Sevva|271|25072|中環遮打道10號太子大廈25樓|$801以上
Buenos Aires Polo Club|76|9605|中環蘭桂坊雲咸街33號LKF Tower 7樓|$401-800
R&R Bagels|92|7145|中環利源西街28號地舖|$51-100
龍景軒 Lung King Heen|195|11633|中環金融街8號香港四季酒店4樓|$801以上
Arbor|38|10571|中環皇后大道中80號H Queen’s 25樓|$801以上
Le q Cafe & Bar|99|3609|中環皇后大道中129號|$401-800
夢 Yume Cuisine|67|1959|中環和安里1-3號德和大廈1樓101號舖|$801以上
Emack & Bolio's|179|6563|中環閣麟街26號地舖|$51-100
白鬍子炸魚薯條 White Beard Fish n Chips|123|6848|中環蘇豪卑利街55號地下A號舖|$51-100
Prime Pho|86|3308|中環擺花街58號地下|$51-100
La Rambla|53|9517|中環港景街1號國際金融中心3樓3071-3073號舖|$401-800
Baked|49|6759|中環蘇豪伊利近街14號地下D號舖|$101-200
