日期,會員級別,會員積分,款式,評論
2018年02月14日 20:26,b_blue_3,1951,颜色分类:白色,买来就迫不及待的拆开了，功能强大，赞！
2018年02月15日 21:15,b_blue_2,839,颜色分类:黑色,真的很棒，很方便，不用麻烦的动手操作，语音识别也很精准，很喜欢
2018年02月14日 13:01,b_blue_2,774,颜色分类:黑色,物流给力，天猫精灵反应敏捷，人工智能，很喜欢。
2018年02月13日 12:00,b_blue_3,1306,,评价方未及时做出评价,系统默认好评!
2018年02月14日 19:03,b_blue_1,356,颜色分类:黑色,感觉非常不错，又买了一个。真正体验到科技对生活改变。有了这个东西以后，人也变得特别懒，什么东西都不愿意走路，张口就来。东西非常好用，就是音箱体和小了一点，音质目前还不是最好。"}],"buyAmount":0,"showCuIcon":false,"serviceRate":null,"useful":0,"user":{"nick":"x***6","vipLevel":0,"displayRatePic":"b_blue_3.gif","nickUrl":"","anony":true,"rank":1306,"avatar":"//assets.alicdn.com/app/sns/img/default/avatar-40.png","vip":"","userId":"","rankUrl":""},"append":{"vicious":"","appendId":341029419511,"show":true,"videos":[],"reply":null,"dayAfterConfirm":17,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i1/0/TB2ckqQaXmWBuNjSspdXXbugXXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i1/0/TB2ckqQaXmWBuNjSspdXXbugXXa_!!0-rate.jpg_400x400.jpg","fileId":1076306199964729625,"receiveId":341029419511,"status":1}],"content":"感觉非常不错，又买了一个。真正体验到科技对生活改变。有了这个东西以后，人也变得特别懒，什么东西都不愿意走路，张口就来。东西非常好用，就是音箱体和小了一点，音质目前还不是最好。"},"status":0},{"date":"2018年02月14日 19:03","shareInfo":{"lastReplyTime":"","share":false,"pic":0,"reply":0,"userNumIdBase64":""},"showDepositIcon":false,"o2oRate":null,"mainTradeId":0,"raterType":0,"validscore":1,"video":null,"photos":[{"thumbnail":"//img.alicdn.com/imgextra/i3/0/TB2flisab5YBuNjSspoXXbeNFXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i3/0/TB2flisab5YBuNjSspoXXbeNFXa_!!0-rate.jpg_400x400.jpg","fileId":1251106198694976129,"receiveId":341000638905,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i4/0/TB2INyuXtknBKNjSZKPXXX6OFXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i4/0/TB2INyuXtknBKNjSZKPXXX6OFXa_!!0-rate.jpg_400x400.jpg","fileId":1251106199470871331,"receiveId":341000638905,"status":1},{"thumbnail":"//img.alicdn.com/imgextra/i3/0/TB2NiKvahSYBuNjSspjXXX73VXa_!!0-rate.jpg_40x40.jpg","url":"//img.alicdn.com/imgextra/i3/0/TB2NiKvahSYBuNjSspjXXX73VXa_!!0-rate.jpg_400x400.jpg","fileId":1251106199747206791,"receiveId":341000638905,"status":1}],"content":"东西收到了～物流超快第二天就到了，自己给自己买的情人节+新年礼物?哈哈。操作简单。智能。大爱。多用用这几天，以后还会追评哦～就是跟手机蓝牙连了后没有打电话这个功能～还有没有小礼物送哦～
2018年02月13日 19:52,b_blue_2,683,颜色分类:白色,精灵看上去非常不错，做工精细，漂亮大方，质量很好，用起来效果不错，反应灵敏，实用，非常听话，给侄女玩很开心。
2018年02月14日 13:07,b_blue_2,774,颜色分类:黑色,查快递，查天气，听歌曲&hellip;&hellip;天猫精灵马上来&ldquo;服务&rdquo;，好东东。
2018年02月13日 12:43,b_blue_2,592,颜色分类:黑色,用了几天，整体感觉不错，虽然有些东西还回答不出，但是因为每周有更新升级，越来越好用了。老人小孩都非常实用，很喜欢。听音乐音质比想象好些。有个底座挺方便的&hellip;&hellip;感谢物流很快，在春节前收到真是太好了！
2018年02月18日 11:40,b_blue_2,610,颜色分类:白色,反应挺灵敏的，可以控制先前买的控客插座，只是点歌的时候，有些歌手的歌不能播放，说是没有版权，建议厂家尽快扩展。
2018年02月17日 06:39,b_red_3,67,颜色分类:黑色,宝贝不错很喜欢，第二次购买了，之前买了一个红色的，现在买个黑色的送朋友。
2018年02月18日 14:01,b_blue_1,296,颜色分类:白色,好用！！！（大概是我对语音智能比较有耐心）已经用上了，爽啊！音质也很不错，嗓门也够大。但是突然觉得说，或许黑色要比白色看着更高级？下次再买个黑色的。单曲循环我们蔡徐坤的歌?
2018年02月01日 17:38,b_blue_4,2691,颜色分类:白色,这个是买的第三个，真的好棒，自己玩一个，送朋友两个，朋友们都很喜欢，以后欠人情就送这个，真的全家都能娱乐
2018年02月16日 01:52,b_blue_2,775,颜色分类:黑色,这个确实好！玩了一天了！价格也便宜，赞一个。。。。
2018年02月13日 16:34,b_red_4,108,颜色分类:白色,很好玩的小音响音质也不错。最好的是忙的时候可以随心换音乐外加可以计时。功能很齐全。
2018年02月13日 08:33,b_blue_1,439,颜色分类:黑色,你永远应该尝试新鲜的东西！这话真没错。没用过的人以为天猫精灵只是个音响，但其实，它的功效如此强大。对于我这种马马虎虎的人，天猫精灵提醒我的日程等等。太棒了！一定给一个良心的五星好评！！！物流也很快，客服态度也超级棒。满意！
2018年02月17日 18:48,b_blue_1,361,颜色分类:白色,很好的精灵，小孩子很喜欢，也便宜，大家喜欢就下手吧！功能强大，齐全。
2018年02月17日 14:46,b_blue_2,814,颜色分类:黑色,声音还可以啊。。。不错。
2018年02月16日 17:24,b_blue_3,1322,颜色分类:白色,收到?送朋友小孩子春节礼物?，直接发快递到他家，听他小孩说外表包装没问题的?那不错，真好初一上午收到?谢谢店家??棒。就可惜他们搞不来设置，晕死?还要我过去帮忙搞下，他们只会用。天猫精灵质量还是可以的，过去已经买了2个自己用，非常好。如有问题再联系店家???
